Reactome,m,proteins
Adherens junctions interactions,34,CAD10_HUMAN;CADH7_HUMAN;CADH9_HUMAN;PVRL3_HUMAN;CADM1_HUMAN;PVRL4_HUMAN;PVRL2_HUMAN;CADM2_HUMAN;CADM3_HUMAN;CAD24_HUMAN;PVRL1_HUMAN;CAD18_HUMAN;CAD17_HUMAN;ACTG_HUMAN;ACTG_HUMAN;ACTB_HUMAN;ACTB_HUMAN;CAD15_HUMAN;CAD13_HUMAN;CAD12_HUMAN;CAD11_HUMAN;CADH8_HUMAN;CADH6_HUMAN;CADH4_HUMAN;AFAD_HUMAN;AFAD_HUMAN;CTNB1_HUMAN;CTNA1_HUMAN;CADH5_HUMAN;CADH3_HUMAN;CADH2_HUMAN;PLAK_HUMAN;CADH1_HUMAN;ANGI_HUMAN;
ADP signalling through P2Y purinoceptor 1,45,GBG8_HUMAN;GBG8_HUMAN;GBG12_HUMAN;GBG12_HUMAN;GBG13_HUMAN;GBG13_HUMAN;GBB4_HUMAN;GBB4_HUMAN;MK14_HUMAN;GBG5_HUMAN;GBG5_HUMAN;GBG3_HUMAN;GBG3_HUMAN;GBG1_HUMAN;GBG1_HUMAN;GBB2_HUMAN;GBB2_HUMAN;GBB1_HUMAN;GBB1_HUMAN;GBG11_HUMAN;GBG11_HUMAN;GBG2_HUMAN;GBG2_HUMAN;GBG10_HUMAN;GBG10_HUMAN;GBG4_HUMAN;GBG4_HUMAN;GNAQ_HUMAN;GNAQ_HUMAN;P2RY1_HUMAN;P2RY1_HUMAN;PA24A_HUMAN;GNA15_HUMAN;GNA15_HUMAN;GNA11_HUMAN;GNA11_HUMAN;GBB3_HUMAN;GBB3_HUMAN;GNA14_HUMAN;GNA14_HUMAN;GBG7_HUMAN;GBG7_HUMAN;GBB5_HUMAN;GBB5_HUMAN;GBGT2_HUMAN;
ADP signalling through P2Y purinoceptor 12,21,GBG8_HUMAN;GBG12_HUMAN;GBG13_HUMAN;GBB4_HUMAN;P2Y12_HUMAN;GBG5_HUMAN;GBG3_HUMAN;GBG1_HUMAN;GNAI1_HUMAN;GBB2_HUMAN;GBB1_HUMAN;GBG11_HUMAN;GBG2_HUMAN;GBG10_HUMAN;GBG4_HUMAN;GBB3_HUMAN;GNAI3_HUMAN;GNAI2_HUMAN;GBG7_HUMAN;GBB5_HUMAN;GBGT2_HUMAN;
Adrenaline signalling through Alpha-2 adrenergic receptor,2,ADA2C_HUMAN;ADA2B_HUMAN;
"Adrenaline,noradrenaline inhibits insulin secretion",46,GBG8_HUMAN;GBG8_HUMAN;GBG12_HUMAN;GBG12_HUMAN;GBG13_HUMAN;GBG13_HUMAN;CA2D2_HUMAN;GBB4_HUMAN;GBB4_HUMAN;CAC1C_HUMAN;CACB2_HUMAN;CAC1D_HUMAN;GBG5_HUMAN;GBG5_HUMAN;GBG3_HUMAN;GBG3_HUMAN;GBG1_HUMAN;GBG1_HUMAN;GNAI1_HUMAN;GNAI1_HUMAN;GBB2_HUMAN;GBB2_HUMAN;GBB1_HUMAN;GBB1_HUMAN;GBG11_HUMAN;GBG11_HUMAN;GBG2_HUMAN;GBG2_HUMAN;CACB3_HUMAN;GBG10_HUMAN;GBG10_HUMAN;GBG4_HUMAN;GBG4_HUMAN;ADA2C_HUMAN;GBB3_HUMAN;GBB3_HUMAN;ADA2A_HUMAN;GNAI2_HUMAN;GNAI2_HUMAN;ADCY5_HUMAN;GBG7_HUMAN;GBG7_HUMAN;ADCY6_HUMAN;GBB5_HUMAN;GBB5_HUMAN;GBGT2_HUMAN;
Adrenoceptors,8,ADA1B_HUMAN;ADA1A_HUMAN;ADA1D_HUMAN;ADA2C_HUMAN;ADA2B_HUMAN;ADRB3_HUMAN;ADA2A_HUMAN;ADRB1_HUMAN;
Advanced glycosylation endproduct receptor signaling,18,RAGE_HUMAN;RAGE_HUMAN;S10AC_HUMAN;S10AC_HUMAN;CAZA1_HUMAN;CAZA2_HUMAN;OST48_HUMAN;MK01_HUMAN;MK03_HUMAN;LEG3_HUMAN;GLU2B_HUMAN;SAA1_HUMAN;SAA1_HUMAN;HMGB1_HUMAN;HMGB1_HUMAN;A4_HUMAN;A4_HUMAN;S100B_HUMAN;
Aflatoxin activation and detoxification,19,GGT7_HUMAN;DPEP3_HUMAN;DPEP2_HUMAN;MGST2_HUMAN;ACY3_HUMAN;ARK74_HUMAN;GGT6_HUMAN;CP2AD_HUMAN;ACY1_HUMAN;GGT5_HUMAN;CP3A5_HUMAN;GGT1_HUMAN;DPEP1_HUMAN;MGST1_HUMAN;CP3A4_HUMAN;CP1A2_HUMAN;ARK73_HUMAN;ARK72_HUMAN;MGST3_HUMAN;
Agmatine biosynthesis,1,SPEB_HUMAN;
AKT phosphorylates targets in the cytosol,16,AKT3_HUMAN;AKT3_HUMAN;MKRN1_HUMAN;AKTS1_HUMAN;BAD_HUMAN;MDM2_HUMAN;CASP9_HUMAN;GSK3B_HUMAN;GSK3A_HUMAN;TSC2_HUMAN;CDN1B_HUMAN;CDN1A_HUMAN;AKT2_HUMAN;AKT2_HUMAN;AKT1_HUMAN;AKT1_HUMAN;
AKT phosphorylates targets in the nucleus,8,AKT3_HUMAN;KS6B2_HUMAN;FOXO1_HUMAN;FOXO4_HUMAN;AKT2_HUMAN;AKT1_HUMAN;NR4A1_HUMAN;CREB1_HUMAN;
AKT-mediated inactivation of FOXO1A,3,AKT3_HUMAN;FOXO1_HUMAN;AKT2_HUMAN;
ALKBH3 mediated reversal of alkylation damage,4,ASCC2_HUMAN;ALKB3_HUMAN;ASCC1_HUMAN;ASCC3_HUMAN;
Alpha-defensins,8,DEF6_HUMAN;DEF5_HUMAN;DEF3_HUMAN;DEF1_HUMAN;NAR1_HUMAN;TRY3_HUMAN;DEF4_HUMAN;TRY2_HUMAN;
alpha-linolenic acid (ALA) metabolism,13,ELOV5_HUMAN;ELOV2_HUMAN;ELOV3_HUMAN;ELOV1_HUMAN;ACOX1_HUMAN;DHB4_HUMAN;ABCD1_HUMAN;ACSL1_HUMAN;NLTP_HUMAN;THIK_HUMAN;FADS2_HUMAN;FADS2_HUMAN;FADS1_HUMAN;
Alpha-oxidation of phytanate,5,HACL1_HUMAN;PECR_HUMAN;AL3A2_HUMAN;PM34_HUMAN;S27A2_HUMAN;
Alternative complement activation,4,GRAM_HUMAN;PROP_HUMAN;CO3_HUMAN;CFAB_HUMAN;
Amine ligand-binding receptors,7,TAAR2_HUMAN;TAAR3_HUMAN;TAAR1_HUMAN;TAAR9_HUMAN;TAAR6_HUMAN;TAAR8_HUMAN;GP143_HUMAN;
Amino acid synthesis and interconversion (transamination),23,NALD2_HUMAN;RIMKB_HUMAN;GLSL_HUMAN;FOH1B_HUMAN;P5CR2_HUMAN;NAT8L_HUMAN;RIMKA_HUMAN;LPP60_HUMAN;GADL1_HUMAN;P5CR3_HUMAN;KAT1_HUMAN;FOLH1_HUMAN;P5CS_HUMAN;DHE4_HUMAN;ACY2_HUMAN;P5CR1_HUMAN;ALAT1_HUMAN;AATC_HUMAN;GLNA_HUMAN;ASNS_HUMAN;OAT_HUMAN;AATM_HUMAN;DHE3_HUMAN;
Amino acid transport across the plasma membrane,32,XCT_HUMAN;S6A14_HUMAN;YLAT1_HUMAN;LAT2_HUMAN;AAA1_HUMAN;S6A20_HUMAN;S6A15_HUMAN;S38A1_HUMAN;S38A3_HUMAN;S38A2_HUMAN;S6A18_HUMAN;S38A4_HUMAN;YLAT2_HUMAN;CTR3_HUMAN;S38A5_HUMAN;MOT10_HUMAN;MCATL_HUMAN;LAT4_HUMAN;S36A1_HUMAN;S36A4_HUMAN;S6A19_HUMAN;S36A2_HUMAN;AAAT_HUMAN;SLC31_HUMAN;LAT1_HUMAN;BAT1_HUMAN;CTR2_HUMAN;S6A12_HUMAN;SATT_HUMAN;SC6A6_HUMAN;CTR1_HUMAN;4F2_HUMAN;
AMPK inhibits chREBP transcriptional activation activity,13,AAKG2_HUMAN;AAKG2_HUMAN;MLXPL_HUMAN;ADR1_HUMAN;ADR1_HUMAN;ADR2_HUMAN;ADR2_HUMAN;ADIPO_HUMAN;ADIPO_HUMAN;STK11_HUMAN;AAPK2_HUMAN;AAPK2_HUMAN;AAKB2_HUMAN;
Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,93,DC1L1_HUMAN;MD1L1_HUMAN;NUDC_HUMAN;RCC2_HUMAN;NDE1_HUMAN;CENPM_HUMAN;INCE_HUMAN;SPC25_HUMAN;ZWILC_HUMAN;DSN1_HUMAN;CENPH_HUMAN;MIS12_HUMAN;NDEL1_HUMAN;NUF2_HUMAN;NUP85_HUMAN;CENPO_HUMAN;CENPK_HUMAN;B9D2_HUMAN;KIF2C_HUMAN;NSL1_HUMAN;CENPN_HUMAN;AURKB_HUMAN;DYL2_HUMAN;SEH1_HUMAN;SPDLY_HUMAN;CENPT_HUMAN;SKA1_HUMAN;CENPI_HUMAN;ELYS_HUMAN;SKA2_HUMAN;NU133_HUMAN;KI18A_HUMAN;CASC5_HUMAN;NUP37_HUMAN;NUP43_HUMAN;SPC24_HUMAN;KIF2B_HUMAN;CENPS_HUMAN;CENPL_HUMAN;CLAP1_HUMAN;TAOK1_HUMAN;CENPQ_HUMAN;CENPU_HUMAN;PMF1_HUMAN;CENPP_HUMAN;SGOL1_HUMAN;SGOL2_HUMAN;BOREA_HUMAN;ERC6L_HUMAN;2A5E_HUMAN;MARE1_HUMAN;2A5B_HUMAN;2A5A_HUMAN;2A5D_HUMAN;DYHC1_HUMAN;CKAP5_HUMAN;DC1I2_HUMAN;2A5G_HUMAN;CENPR_HUMAN;MD2L1_HUMAN;CDC20_HUMAN;NU160_HUMAN;CENPC_HUMAN;CENPE_HUMAN;PP2AA_HUMAN;DYL1_HUMAN;PP2AB_HUMAN;NU107_HUMAN;SEC13_HUMAN;PLK1_HUMAN;NUP98_HUMAN;KNTC1_HUMAN;RBP2_HUMAN;CENPF_HUMAN;CENPA_HUMAN;RAGP1_HUMAN;LIS1_HUMAN;RS27_HUMAN;PP1G_HUMAN;CLIP1_HUMAN;2AAB_HUMAN;2AAA_HUMAN;ZWINT_HUMAN;CLAP2_HUMAN;BUB1B_HUMAN;BUB3_HUMAN;BUB1_HUMAN;ZW10_HUMAN;DC1L2_HUMAN;BIRC5_HUMAN;XPO1_HUMAN;NDC80_HUMAN;DC1I1_HUMAN;
Amyloid fiber formation,70,SNCAP_HUMAN;SNCAP_HUMAN;ITM2B_HUMAN;GGA1_HUMAN;GGA2_HUMAN;NAT8B_HUMAN;NAT8_HUMAN;GGA3_HUMAN;H2B1L_HUMAN;H2B1M_HUMAN;H2A1J_HUMAN;H2B1N_HUMAN;H2B1A_HUMAN;H2B1H_HUMAN;H2A1C_HUMAN;USP9X_HUMAN;SORL_HUMAN;H2B3B_HUMAN;SIAH1_HUMAN;H32_HUMAN;H2A2A_HUMAN;H2B2E_HUMAN;H2A2C_HUMAN;BGH3_HUMAN;MFGM_HUMAN;PGBM_HUMAN;H33_HUMAN;H31_HUMAN;RL40_HUMAN;RS27A_HUMAN;H2B1C_HUMAN;H4_HUMAN;B2MG_HUMAN;LYSC_HUMAN;H2B1D_HUMAN;H2BFS_HUMAN;BACE1_HUMAN;SYUA_HUMAN;H2B1B_HUMAN;H2B1O_HUMAN;H2A1D_HUMAN;H2AX_HUMAN;IAPP_HUMAN;SAA1_HUMAN;UBC_HUMAN;UBB_HUMAN;H2AB1_HUMAN;H2AZ_HUMAN;FURIN_HUMAN;H2B1J_HUMAN;APOA4_HUMAN;GELS_HUMAN;CALB1_HUMAN;A4_HUMAN;H2A1B_HUMAN;SEMG1_HUMAN;TRFL_HUMAN;TTHY_HUMAN;SAMP_HUMAN;FIBA_HUMAN;APOA1_HUMAN;INS_HUMAN;CALC_HUMAN;PRL_HUMAN;ANF_HUMAN;CYTC_HUMAN;H2B1K_HUMAN;PRKN2_HUMAN;SIAH2_HUMAN;UB2L6_HUMAN;
Anchoring fibril formation,14,TLL2_HUMAN;LAMA3_HUMAN;CO4A6_HUMAN;LAMC2_HUMAN;LAMB3_HUMAN;CO7A1_HUMAN;CO4A3_HUMAN;CO4A4_HUMAN;CO4A5_HUMAN;BMP1_HUMAN;CO4A2_HUMAN;CO1A2_HUMAN;CO4A1_HUMAN;CO1A1_HUMAN;
Anchoring of the basal body to the plasma membrane,96,CEP83_HUMAN;NINL_HUMAN;CE164_HUMAN;CP131_HUMAN;B9D1_HUMAN;C2D2A_HUMAN;CEP72_HUMAN;TM216_HUMAN;NDE1_HUMAN;MKS1_HUMAN;HAUS2_HUMAN;CENPJ_HUMAN;HAUS4_HUMAN;CEP41_HUMAN;CP250_HUMAN;HAUS8_HUMAN;B9D2_HUMAN;AKAP9_HUMAN;HAUS7_HUMAN;CEP89_HUMAN;CK5P2_HUMAN;RAB3I_HUMAN;SCLT1_HUMAN;CEP63_HUMAN;MARK4_HUMAN;TECT2_HUMAN;HAUS1_HUMAN;FBF1_HUMAN;CE192_HUMAN;ALMS1_HUMAN;CEP76_HUMAN;NEDD1_HUMAN;CEP70_HUMAN;AHI1_HUMAN;CEP97_HUMAN;CEP57_HUMAN;SDCG8_HUMAN;CNTRL_HUMAN;HAUS6_HUMAN;CLAP1_HUMAN;TBA1A_HUMAN;TECT3_HUMAN;TTBK2_HUMAN;HAUS3_HUMAN;FTM_HUMAN;CP135_HUMAN;CE162_HUMAN;KIF24_HUMAN;CEP78_HUMAN;MKS3_HUMAN;ODFP2_HUMAN;C2CD3_HUMAN;TECT1_HUMAN;MARE1_HUMAN;PCM1_HUMAN;IQCB1_HUMAN;SEPT2_HUMAN;DYHC1_HUMAN;DCTN1_HUMAN;CKAP5_HUMAN;DCTN2_HUMAN;DC1I2_HUMAN;TBB4B_HUMAN;TBA4A_HUMAN;DYL1_HUMAN;RB11A_HUMAN;1433E_HUMAN;1433G_HUMAN;ACTZ_HUMAN;RAB8A_HUMAN;PLK1_HUMAN;NEK2_HUMAN;KC1E_HUMAN;KC1D_HUMAN;LIS1_HUMAN;CETN2_HUMAN;KAP3_HUMAN;2AAA_HUMAN;TBG1_HUMAN;KAPCA_HUMAN;HS90A_HUMAN;TBB5_HUMAN;CDK1_HUMAN;TBB4A_HUMAN;FR1OP_HUMAN;PCNT_HUMAN;CE152_HUMAN;HAUS5_HUMAN;DCTN3_HUMAN;OFD1_HUMAN;NPHP4_HUMAN;SSNA1_HUMAN;CP110_HUMAN;NPHP1_HUMAN;CE290_HUMAN;PLK4_HUMAN;
Androgen biosynthesis,8,PORED_HUMAN;DHB12_HUMAN;DHB3_HUMAN;S5A2_HUMAN;S5A1_HUMAN;CP17A_HUMAN;LSHB_HUMAN;GLHA_HUMAN;
Antagonism of Activin by Follistatin,3,FST_HUMAN;INHBB_HUMAN;INHBA_HUMAN;
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,154,DAPP1_HUMAN;ORAI2_HUMAN;CRCM1_HUMAN;SH3K1_HUMAN;BLNK_HUMAN;BCAP_HUMAN;ITPR1_HUMAN;ITPR1_HUMAN;ITPR3_HUMAN;ITPR3_HUMAN;ITPR2_HUMAN;ITPR2_HUMAN;STIM1_HUMAN;STIM1_HUMAN;CBLB_HUMAN;SOS1_HUMAN;BTK_HUMAN;LV302_HUMAN;LV302_HUMAN;BLK_HUMAN;TRPC1_HUMAN;KSYK_HUMAN;CD79B_HUMAN;CD79B_HUMAN;SHC1_HUMAN;SHC1_HUMAN;PTN6_HUMAN;PTN6_HUMAN;P85A_HUMAN;HV103_HUMAN;HV103_HUMAN;CBL_HUMAN;CD22_HUMAN;CD22_HUMAN;PLCG1_HUMAN;PLCG2_HUMAN;NCK1_HUMAN;VAV_HUMAN;CD19_HUMAN;CD79A_HUMAN;CD79A_HUMAN;LAC3_HUMAN;LAC3_HUMAN;LAC2_HUMAN;LAC2_HUMAN;LAC1_HUMAN;LAC1_HUMAN;LAC6_HUMAN;LAC6_HUMAN;LYN_HUMAN;HV209_HUMAN;HV209_HUMAN;KV501_HUMAN;KV501_HUMAN;KV401_HUMAN;KV401_HUMAN;KV206_HUMAN;KV206_HUMAN;FYN_HUMAN;KV309_HUMAN;KV309_HUMAN;KV124_HUMAN;KV124_HUMAN;KV122_HUMAN;KV122_HUMAN;LV001_HUMAN;LV001_HUMAN;IGHD_HUMAN;IGHD_HUMAN;IGHM_HUMAN;IGHM_HUMAN;IGKC_HUMAN;IGKC_HUMAN;HV207_HUMAN;HV207_HUMAN;HV206_HUMAN;HV206_HUMAN;HV204_HUMAN;HV204_HUMAN;HV201_HUMAN;HV201_HUMAN;HV321_HUMAN;HV321_HUMAN;HV319_HUMAN;HV319_HUMAN;HV311_HUMAN;HV311_HUMAN;HV307_HUMAN;HV307_HUMAN;HV306_HUMAN;HV306_HUMAN;HV305_HUMAN;HV305_HUMAN;HV303_HUMAN;HV303_HUMAN;HV302_HUMAN;HV302_HUMAN;HV301_HUMAN;HV301_HUMAN;HV102_HUMAN;HV102_HUMAN;HV101_HUMAN;HV101_HUMAN;LV601_HUMAN;LV601_HUMAN;LV404_HUMAN;LV404_HUMAN;LV403_HUMAN;LV403_HUMAN;LV401_HUMAN;LV401_HUMAN;LV301_HUMAN;LV301_HUMAN;LV206_HUMAN;LV206_HUMAN;LV203_HUMAN;LV203_HUMAN;LV202_HUMAN;LV202_HUMAN;LV201_HUMAN;LV201_HUMAN;LV105_HUMAN;LV105_HUMAN;LV103_HUMAN;LV103_HUMAN;LV102_HUMAN;LV102_HUMAN;LV101_HUMAN;LV101_HUMAN;KV306_HUMAN;KV306_HUMAN;KV301_HUMAN;KV301_HUMAN;KV202_HUMAN;KV202_HUMAN;KV201_HUMAN;KV201_HUMAN;KV119_HUMAN;KV119_HUMAN;KV110_HUMAN;KV110_HUMAN;KV109_HUMAN;KV109_HUMAN;KV107_HUMAN;KV107_HUMAN;KV105_HUMAN;KV105_HUMAN;KV102_HUMAN;KV102_HUMAN;KV101_HUMAN;KV101_HUMAN;SAHH2_HUMAN;PK3CD_HUMAN;LAC7_HUMAN;
"Antigen Presentation: Folding, assembly and peptide loading of class I MHC",169,SAR1B_HUMAN;1C05_HUMAN;1C05_HUMAN;ERAP1_HUMAN;1C17_HUMAN;1C17_HUMAN;1B38_HUMAN;1B38_HUMAN;ERAP2_HUMAN;1B73_HUMAN;1B73_HUMAN;1B81_HUMAN;1B81_HUMAN;1C06_HUMAN;1C06_HUMAN;1C16_HUMAN;1C16_HUMAN;1B59_HUMAN;1B59_HUMAN;1C18_HUMAN;1C18_HUMAN;1B67_HUMAN;1B67_HUMAN;1B82_HUMAN;1B82_HUMAN;SC23A_HUMAN;1A80_HUMAN;1A80_HUMAN;1C15_HUMAN;1C15_HUMAN;1B40_HUMAN;1B40_HUMAN;TAP2_HUMAN;TAP1_HUMAN;B2MG_HUMAN;SEC13_HUMAN;SC24C_HUMAN;BAP31_HUMAN;1B35_HUMAN;1B35_HUMAN;1A29_HUMAN;1A29_HUMAN;HLAF_HUMAN;HLAF_HUMAN;1C14_HUMAN;1C14_HUMAN;1C12_HUMAN;1C12_HUMAN;1C08_HUMAN;1C08_HUMAN;1C04_HUMAN;1C04_HUMAN;1C02_HUMAN;1C02_HUMAN;1C01_HUMAN;1C01_HUMAN;1B78_HUMAN;1B78_HUMAN;1B56_HUMAN;1B56_HUMAN;1B55_HUMAN;1B55_HUMAN;1B54_HUMAN;1B54_HUMAN;1B53_HUMAN;1B53_HUMAN;1B52_HUMAN;1B52_HUMAN;1B50_HUMAN;1B50_HUMAN;1B49_HUMAN;1B49_HUMAN;1B48_HUMAN;1B48_HUMAN;1B47_HUMAN;1B47_HUMAN;1B46_HUMAN;1B46_HUMAN;1B45_HUMAN;1B45_HUMAN;1B44_HUMAN;1B44_HUMAN;1B42_HUMAN;1B42_HUMAN;1B41_HUMAN;1B41_HUMAN;1B39_HUMAN;1B39_HUMAN;1B18_HUMAN;1B18_HUMAN;1B15_HUMAN;1B15_HUMAN;1B14_HUMAN;1B14_HUMAN;1B13_HUMAN;1B13_HUMAN;1B08_HUMAN;1B08_HUMAN;1A74_HUMAN;1A74_HUMAN;1A66_HUMAN;1A66_HUMAN;1A43_HUMAN;1A43_HUMAN;1A36_HUMAN;1A36_HUMAN;1A34_HUMAN;1A34_HUMAN;1A26_HUMAN;1A26_HUMAN;1A23_HUMAN;1A23_HUMAN;1A01_HUMAN;1A01_HUMAN;PDIA3_HUMAN;PDIA3_HUMAN;CALX_HUMAN;CALX_HUMAN;CALR_HUMAN;1B57_HUMAN;1B57_HUMAN;1B51_HUMAN;1B51_HUMAN;1B37_HUMAN;1B37_HUMAN;1A25_HUMAN;1A25_HUMAN;HLAG_HUMAN;HLAG_HUMAN;1A33_HUMAN;1A33_HUMAN;1A31_HUMAN;1A31_HUMAN;1A30_HUMAN;1A30_HUMAN;HLAE_HUMAN;HLAE_HUMAN;1A11_HUMAN;1A11_HUMAN;GRP78_HUMAN;GRP78_HUMAN;1C07_HUMAN;1C07_HUMAN;1B58_HUMAN;1B58_HUMAN;1A69_HUMAN;1A69_HUMAN;1A32_HUMAN;1A32_HUMAN;1A24_HUMAN;1A24_HUMAN;1A03_HUMAN;1A03_HUMAN;1C03_HUMAN;1C03_HUMAN;1B27_HUMAN;1B27_HUMAN;HLAH_HUMAN;HLAH_HUMAN;1A02_HUMAN;1A02_HUMAN;1A68_HUMAN;1A68_HUMAN;1B07_HUMAN;1B07_HUMAN;SC24B_HUMAN;SC24A_HUMAN;SC31A_HUMAN;SC24D_HUMAN;
