pathway,m,proteins
HIV-1 Nef: Negative effector of Fas and TNF-alpha,36,APAF_HUMAN;TRAF1_HUMAN;BID_HUMAN;MK08_HUMAN;DFFA_HUMAN;MP2K7_HUMAN;;CASP9_HUMAN;M3K5_HUMAN;DFFB_HUMAN;DAXX_HUMAN;TRAF2_HUMAN;TNR1A_HUMAN;TRADD_HUMAN;CYC_HUMAN;CD3Z_HUMAN;M3K14_HUMAN;BAG4_HUMAN;CASP8_HUMAN;TNR6_HUMAN;CASP6_HUMAN;CASP2_HUMAN;TF65_HUMAN;TNFL6_HUMAN;TNFA_HUMAN;CASP3_HUMAN;BCL2_HUMAN;CASP7_HUMAN;IKKA_HUMAN;NFKB1_HUMAN;CFLAR_HUMAN;IKBA_HUMAN;FADD_HUMAN;CRADD_HUMAN;RIPK1_HUMAN;BIRC3_HUMAN;
Arf6 signaling events,35,CYH3_HUMAN;EGF_HUMAN;TSHR_HUMAN;ARAP2_HUMAN;ITA2B_HUMAN;HGF_HUMAN;GNA11_HUMAN;EFNA1_HUMAN;KI13B_HUMAN;SRC_HUMAN;ARF6_HUMAN;ARRB1_HUMAN;ARRB2_HUMAN;FBX8_HUMAN;ACAP1_HUMAN;EPHA2_HUMAN;GNA15_HUMAN;GNAQ_HUMAN;GNA14_HUMAN;ADAP1_HUMAN;ADRB2_HUMAN;CYH2_HUMAN;AGTR1_HUMAN;MET_HUMAN;UBP6_HUMAN;GULP1_HUMAN;EGFR_HUMAN;NCK1_HUMAN;IQEC1_HUMAN;GIT1_HUMAN;ACAP2_HUMAN;ITB3_HUMAN;LSHR_HUMAN;PAXI_HUMAN;ICEF1_HUMAN;
Class I PI3K signaling events mediated by Akt,35,FOXO4_HUMAN;CDN1B_HUMAN;RICTR_HUMAN;RAF1_HUMAN;KAPCA_HUMAN;MTOR_HUMAN;GSK3B_HUMAN;BAD_HUMAN;1433B_HUMAN;1433E_HUMAN;IMA1_HUMAN;PRKDC_HUMAN;1433Z_HUMAN;CASP9_HUMAN;HS90A_HUMAN;M3K5_HUMAN;IKKA_HUMAN;AKT2_HUMAN;FOXO3_HUMAN;;1433S_HUMAN;SIN1_HUMAN;SRC_HUMAN;GTR4_HUMAN;CDN1A_HUMAN;AKT1_HUMAN;LST8_HUMAN;TBCD4_HUMAN;PDPK1_HUMAN;1433T_HUMAN;1433G_HUMAN;FOXO1_HUMAN;GSK3A_HUMAN;AKT3_HUMAN;1433F_HUMAN;
IL2 signaling events mediated by PI3K,35,P85A_HUMAN;MYC_HUMAN;RAC1_HUMAN;GAB2_HUMAN;NFKB1_HUMAN;PTN11_HUMAN;SMS1_HUMAN;TF65_HUMAN;LCK_HUMAN;MYB_HUMAN;MTOR_HUMAN;EIF3A_HUMAN;KS6B1_HUMAN;IL2_HUMAN;BCL2_HUMAN;IL2RA_HUMAN;KPCZ_HUMAN;IL2RB_HUMAN;IL2RG_HUMAN;FOXO3_HUMAN;B2CL1_HUMAN;RS6_HUMAN;CALM_HUMAN;SOS1_HUMAN;JAK3_HUMAN;SHC1_HUMAN;PK3CA_HUMAN;HS90A_HUMAN;GRB2_HUMAN;AKT1_HUMAN;E2F1_HUMAN;TERT_HUMAN;ASM_HUMAN;JAK1_HUMAN;CEGT_HUMAN;
IL8- and CXCR2-mediated signaling events,35,PDPK1_HUMAN;PP2AA_HUMAN;GNA15_HUMAN;;PLCB1_HUMAN;IL8_HUMAN;KPCA_HUMAN;RAB7A_HUMAN;RAC2_HUMAN;DYN1_HUMAN;2AAA_HUMAN;ARRB1_HUMAN;PI3R6_HUMAN;GNAI2_HUMAN;GBB1_HUMAN;PK3CG_HUMAN;PLCB3_HUMAN;CBL_HUMAN;RB11A_HUMAN;GNA14_HUMAN;PLD2_HUMAN;DOCK2_HUMAN;GBG2_HUMAN;PLCB2_HUMAN;AKT1_HUMAN;FGR_HUMAN;CXCR2_HUMAN;VASP_HUMAN;RAB5A_HUMAN;HCK_HUMAN;KPCG_HUMAN;ARRB2_HUMAN;ELMO1_HUMAN;LYN_HUMAN;;
Trk receptor signaling mediated by the MAPK pathway,35,MP2K1_HUMAN;;RIT1_HUMAN;EHD4_HUMAN;BRAF_HUMAN;KS6A1_HUMAN;RAP1B_HUMAN;MK14_HUMAN;NTF3_HUMAN;CDK5_HUMAN;RASN_HUMAN;CD5R1_HUMAN;EGR1_HUMAN;MK07_HUMAN;MAPK2_HUMAN;MK03_HUMAN;MP2K3_HUMAN;RAP1A_HUMAN;MP2K5_HUMAN;MEF2C_HUMAN;ELK1_HUMAN;KPCD_HUMAN;RAF1_HUMAN;SRF_HUMAN;FOS_HUMAN;RIT2_HUMAN;M3K2_HUMAN;RASH_HUMAN;MK01_HUMAN;;TRPV1_HUMAN;MP2K6_HUMAN;KS6A5_HUMAN;CREB1_HUMAN;RUSC1_HUMAN;
ATM pathway,34,ATM_HUMAN;H2AX_HUMAN;MPIP1_HUMAN;ABL1_HUMAN;TERF2_HUMAN;TOP3A_HUMAN;CTBP1_HUMAN;MDC1_HUMAN;RFWD2_HUMAN;MDM2_HUMAN;MPIP3_HUMAN;UIMC1_HUMAN;BLM_HUMAN;RAD17_HUMAN;RNF8_HUMAN;BRCA1_HUMAN;KAT5_HUMAN;MRE11_HUMAN;SMC3_HUMAN;RAD50_HUMAN;UBE2N_HUMAN;COM1_HUMAN;FACD2_HUMAN;BID_HUMAN;XRCC4_HUMAN;1433B_HUMAN;NBN_HUMAN;DCR1C_HUMAN;SMC1A_HUMAN;TP53B_HUMAN;F175A_HUMAN;CHK2_HUMAN;TIF1B_HUMAN;RAD9A_HUMAN;
EPHA forward signaling,34,EPHA7_HUMAN;PI3R6_HUMAN;EFNA1_HUMAN;EPHA2_HUMAN;PLCG1_HUMAN;LYN_HUMAN;ARHGF_HUMAN;EFNA2_HUMAN;VAV3_HUMAN;SRC_HUMAN;BLK_HUMAN;EPHA3_HUMAN;YES_HUMAN;CDK5_HUMAN;VAV2_HUMAN;EPHA8_HUMAN;EPHA1_HUMAN;EFNA3_HUMAN;EFNA5_HUMAN;PI3R5_HUMAN;CRKL_HUMAN;EPHA6_HUMAN;NGEF_HUMAN;CBL_HUMAN;PK3CG_HUMAN;FGR_HUMAN;HCK_HUMAN;EPHA4_HUMAN;RHOA_HUMAN;EPHA5_HUMAN;ROCK1_HUMAN;LCK_HUMAN;FYN_HUMAN;CRK_HUMAN;
EPO signaling pathway,34,PTN11_HUMAN;EPO_HUMAN;GRB2_HUMAN;BCL2_HUMAN;NFKB1_HUMAN;CBL_HUMAN;TEC_HUMAN;CRKL_HUMAN;SHC1_HUMAN;PLCG2_HUMAN;SOCS3_HUMAN;STA5A_HUMAN;B2CL1_HUMAN;MK14_HUMAN;SH2B3_HUMAN;STA5B_HUMAN;TRPC6_HUMAN;PLCG1_HUMAN;MK08_HUMAN;IRS2_HUMAN;JAK2_HUMAN;EPOR_HUMAN;SHIP1_HUMAN;BTK_HUMAN;VAV2_HUMAN;RAP1A_HUMAN;GAB1_HUMAN;STAT1_HUMAN;RPGF1_HUMAN;LYN_HUMAN;P85A_HUMAN;SOS1_HUMAN;PTN6_HUMAN;RASH_HUMAN;
HIF-2-alpha transcription factor network,34,SIR1_HUMAN;CBP_HUMAN;EGLN2_HUMAN;FRDA_HUMAN;EIF3E_HUMAN;PAI1_HUMAN;CITE2_HUMAN;EGLN1_HUMAN;SP1_HUMAN;VGFR2_HUMAN;NRAM2_HUMAN;EP300_HUMAN;PO5F1_HUMAN;EPAS1_HUMAN;PGK1_HUMAN;VEGFA_HUMAN;EFNA1_HUMAN;ELK1_HUMAN;ELOB_HUMAN;TWST1_HUMAN;ABCG2_HUMAN;EPO_HUMAN;BHE40_HUMAN;APEX1_HUMAN;GTR1_HUMAN;EGLN3_HUMAN;MMP14_HUMAN;VGFR1_HUMAN;ETS1_HUMAN;HIF1N_HUMAN;ELOC_HUMAN;ARNT_HUMAN;VHL_HUMAN;AA2AR_HUMAN;
IL1-mediated signaling events,34,UBE2N_HUMAN;MP2K6_HUMAN;PK3CA_HUMAN;IKKA_HUMAN;NFKB1_HUMAN;NEMO_HUMAN;TRAF6_HUMAN;IL1R2_HUMAN;M3K3_HUMAN;TF65_HUMAN;M3K7_HUMAN;SQSTM_HUMAN;KPCI_HUMAN;IKKB_HUMAN;TAB2_HUMAN;MYD88_HUMAN;KPCZ_HUMAN;;UB2V1_HUMAN;IRAK1_HUMAN;JUN_HUMAN;IL1B_HUMAN;MK08_HUMAN;TCAM2_HUMAN;RB6I2_HUMAN;IRAK4_HUMAN;TAB1_HUMAN;P85A_HUMAN;CASP1_HUMAN;IL1R1_HUMAN;IL1RA_HUMAN;IL1A_HUMAN;TOLIP_HUMAN;IRAK3_HUMAN;
N-cadherin signaling events,34,CADH2_HUMAN;CTND1_HUMAN;FGFR1_HUMAN;GELS_HUMAN;CALM_HUMAN;PK3CA_HUMAN;GRIA2_HUMAN;AXIN1_HUMAN;SRC8_HUMAN;MK08_HUMAN;PI51C_HUMAN;DGLA_HUMAN;NEUM_HUMAN;P85A_HUMAN;CTNB1_HUMAN;CXA1_HUMAN;FER_HUMAN;CDC42_HUMAN;RAC1_HUMAN;MLRV_HUMAN;LRP5_HUMAN;MARE1_HUMAN;PLCG1_HUMAN;CNR1_HUMAN;DCTN1_HUMAN;ROCK1_HUMAN;PTN1_HUMAN;CTNA1_HUMAN;DGLB_HUMAN;PLAK_HUMAN;KINH_HUMAN;KCC2G_HUMAN;RHOA_HUMAN;PTN11_HUMAN;
Signaling events mediated by HDAC Class II,34,TBB2A_HUMAN;RAGP1_HUMAN;NCOR2_HUMAN;HDAC9_HUMAN;HDAC5_HUMAN;1433B_HUMAN;GATA2_HUMAN;BCOR_HUMAN;GBG2_HUMAN;1433E_HUMAN;HDAC7_HUMAN;RBP2_HUMAN;HDAC3_HUMAN;ANRA2_HUMAN;ESR1_HUMAN;GCR_HUMAN;HDA11_HUMAN;GBB1_HUMAN;RAN_HUMAN;GATA1_HUMAN;SUMO1_HUMAN;BCL6_HUMAN;MEF2C_HUMAN;SRF_HUMAN;UBC9_HUMAN;HDAC6_HUMAN;HS90A_HUMAN;HDA10_HUMAN;RFXK_HUMAN;ARBK1_HUMAN;XPO1_HUMAN;KCC4_HUMAN;HDAC4_HUMAN;TBA1B_HUMAN;
Alpha4 beta1 integrin signaling events,33,TLN1_HUMAN;SRC_HUMAN;RAC1_HUMAN;ADA28_HUMAN;PTPRA_HUMAN;FINC_HUMAN;DOCK1_HUMAN;JAM2_HUMAN;KAPCB_HUMAN;KAPCA_HUMAN;CD14_HUMAN;CRK_HUMAN;PAXI_HUMAN;VCAM1_HUMAN;MK_HUMAN;TSP1_HUMAN;OSTP_HUMAN;1433Z_HUMAN;ITA4_HUMAN;BCAR1_HUMAN;ABI1_HUMAN;KAP1_HUMAN;MYH2_HUMAN;JAML1_HUMAN;GIT1_HUMAN;FAK2_HUMAN;TSP2_HUMAN;KAP0_HUMAN;ARF6_HUMAN;;IGSF8_HUMAN;ITB1_HUMAN;CD81_HUMAN;
Alpha-synuclein signaling,33,PRKN2_HUMAN;CSK21_HUMAN;FAK2_HUMAN;HCK_HUMAN;PLD1_HUMAN;BLK_HUMAN;SNCAP_HUMAN;TOR1A_HUMAN;PARK7_HUMAN;PLCB2_HUMAN;SRC_HUMAN;FYN_HUMAN;SC6A3_HUMAN;MK03_HUMAN;TY3H_HUMAN;BAD_HUMAN;FGR_HUMAN;MK01_HUMAN;KSYK_HUMAN;FKB1A_HUMAN;LYN_HUMAN;KLK6_HUMAN;AOFB_HUMAN;PLD2_HUMAN;2A5D_HUMAN;UB2L3_HUMAN;YES_HUMAN;KPCD_HUMAN;LCK_HUMAN;GRK5_HUMAN;UCHL1_HUMAN;CHIP_HUMAN;SYUA_HUMAN;
IL12 signaling mediated by STAT4,33,IL2_HUMAN;IRF1_HUMAN;CD28_HUMAN;IL2RA_HUMAN;MK09_HUMAN;MK08_HUMAN;CD3Z_HUMAN;PP2BB_HUMAN;IL18R_HUMAN;I18RA_HUMAN;CD80_HUMAN;CANB1_HUMAN;IL13_HUMAN;TBX21_HUMAN;IFNG_HUMAN;2B11_HUMAN;JUN_HUMAN;IL18_HUMAN;CBP_HUMAN;PIAS2_HUMAN;DRA_HUMAN;TGFB1_HUMAN;CD3G_HUMAN;CD3E_HUMAN;CD4_HUMAN;CD86_HUMAN;CD3D_HUMAN;PERF_HUMAN;FOS_HUMAN;STAT4_HUMAN;STAT3_HUMAN;PP2BA_HUMAN;ETV5_HUMAN;
Syndecan-2-mediated signaling events,33,TPPC4_HUMAN;BAX_HUMAN;TGFB1_HUMAN;MK03_HUMAN;LAMA3_HUMAN;NF1_HUMAN;MMP2_HUMAN;41_HUMAN;KNG1_HUMAN;EPHB2_HUMAN;EZRI_HUMAN;SRC_HUMAN;RHOA_HUMAN;GBLP_HUMAN;FINC_HUMAN;SDCB1_HUMAN;TR13B_HUMAN;SDC2_HUMAN;RASA1_HUMAN;RASH_HUMAN;MK01_HUMAN;CSKP_HUMAN;LAMA1_HUMAN;KAPCA_HUMAN;ITB1_HUMAN;MK08_HUMAN;ITA2_HUMAN;IL8_HUMAN;CAV2_HUMAN;ITA5_HUMAN;KPCD_HUMAN;CSF2_HUMAN;CASP3_HUMAN;
Netrin-mediated signaling events,32,NET1_HUMAN;;WASL_HUMAN;CDC42_HUMAN;;TRIO_HUMAN;PLCG1_HUMAN;UNC5C_HUMAN;FYN_HUMAN;NCK1_HUMAN;PAK1_HUMAN;BCAR1_HUMAN;UNC5B_HUMAN;MK03_HUMAN;PIPNA_HUMAN;YES_HUMAN;RAC1_HUMAN;MYO10_HUMAN;KCC2A_HUMAN;MP2K2_HUMAN;P85A_HUMAN;DCC_HUMAN;DOCK1_HUMAN;RHOA_HUMAN;PK3CA_HUMAN;MAP1B_HUMAN;ELMO1_HUMAN;MP2K1_HUMAN;DAPK1_HUMAN;MK01_HUMAN;UNC5A_HUMAN;SRC_HUMAN;
Noncanonical Wnt signaling pathway,32,YES_HUMAN;KPCZ_HUMAN;M3K7_HUMAN;TAB2_HUMAN;FLNA_HUMAN;KC1A_HUMAN;CDC42_HUMAN;DAAM1_HUMAN;FZD7_HUMAN;WNT5A_HUMAN;ROR2_HUMAN;NFAC2_HUMAN;SETB1_HUMAN;NLK_HUMAN;ROCK1_HUMAN;RAC1_HUMAN;ARRB2_HUMAN;FZD5_HUMAN;MK08_HUMAN;CHD7_HUMAN;MK09_HUMAN;PPARG_HUMAN;KCC2A_HUMAN;DVL1_HUMAN;RHOA_HUMAN;FZD6_HUMAN;CTHR1_HUMAN;DVL2_HUMAN;DVL3_HUMAN;FZD2_HUMAN;TAB1_HUMAN;MK10_HUMAN;
Nongenotropic Androgen signaling,32,MK01_HUMAN;PLCB1_HUMAN;GNAI1_HUMAN;PLCG1_HUMAN;PK3CA_HUMAN;GBG2_HUMAN;GON1_HUMAN;MK03_HUMAN;RAC1_HUMAN;RASH_HUMAN;GNAI2_HUMAN;MP2K1_HUMAN;;ANDR_HUMAN;AKT1_HUMAN;PELP1_HUMAN;SHBG_HUMAN;SRC_HUMAN;GNAI3_HUMAN;RAF1_HUMAN;CDC42_HUMAN;CREB1_HUMAN;GNAZ_HUMAN;PLCB2_HUMAN;GNAO_HUMAN;PLCB3_HUMAN;P85A_HUMAN;FOS_HUMAN;GBB1_HUMAN;PLCG2_HUMAN;MP2K2_HUMAN;GNAO_HUMAN;
Regulation of Ras family activation,32,KPCE_HUMAN;RASL1_HUMAN;SOS2_HUMAN;RABX5_HUMAN;GRB2_HUMAN;RGRF1_HUMAN;KPCZ_HUMAN;RIN1_HUMAN;LEG3_HUMAN;GRP2_HUMAN;RASH_HUMAN;RASL2_HUMAN;CALM_HUMAN;DAB2P_HUMAN;GRP4_HUMAN;NF1_HUMAN;GRP1_HUMAN;RASA2_HUMAN;RASA1_HUMAN;KPCA_HUMAN;RASN_HUMAN;GRP3_HUMAN;PLCE1_HUMAN;KPCB_HUMAN;LEG1_HUMAN;RASK_HUMAN;KCC2B_HUMAN;SYGP1_HUMAN;;RRAS_HUMAN;RGRF2_HUMAN;SOS1_HUMAN;
RXR and RAR heterodimerization with other nuclear receptor,32,ABCA1_HUMAN;NR1H2_HUMAN;PPARA_HUMAN;KS6B1_HUMAN;PPARG_HUMAN;THA_HUMAN;BCL2_HUMAN;NR1H3_HUMAN;F120B_HUMAN;;NR1H4_HUMAN;;NCOR2_HUMAN;MED1_HUMAN;NR4A1_HUMAN;;;;;THB_HUMAN;RXRG_HUMAN;PPARD_HUMAN;VDR_HUMAN;;NCOA1_HUMAN;;;;;TNFA_HUMAN;RXRA_HUMAN;TGFB1_HUMAN;
Syndecan-4-mediated signaling events,32,ADA12_HUMAN;TR13B_HUMAN;TENA_HUMAN;SDF1_HUMAN;RAC1_HUMAN;LAMA1_HUMAN;FGF6_HUMAN;SDCB1_HUMAN;TSP1_HUMAN;THRB_HUMAN;GIPC1_HUMAN;DYN2_HUMAN;KPCA_HUMAN;ITA5_HUMAN;ACTN1_HUMAN;;MMP9_HUMAN;SDOS_HUMAN;RHOA_HUMAN;PLMN_HUMAN;KPCD_HUMAN;FZD7_HUMAN;TFPI1_HUMAN;FINC_HUMAN;MK_HUMAN;LAMA3_HUMAN;FGFR1_HUMAN;ITB1_HUMAN;SDC4_HUMAN;CXCR4_HUMAN;FGF2_HUMAN;CCL5_HUMAN;
Aurora A signaling,31,AKT1_HUMAN;FZR_HUMAN;NDEL1_HUMAN;MPIP2_HUMAN;AKIP_HUMAN;AURKA_HUMAN;MDM2_HUMAN;PAK1_HUMAN;BRCA1_HUMAN;2A5D_HUMAN;GA45A_HUMAN;CENPA_HUMAN;KAPCA_HUMAN;OAZ1_HUMAN;RASA1_HUMAN;AURKB_HUMAN;GIT1_HUMAN;TDRD7_HUMAN;P53_HUMAN;TPX2_HUMAN;RAN_HUMAN;GSK3B_HUMAN;DLGP5_HUMAN;CPEB1_HUMAN;ARHG7_HUMAN;BIRC5_HUMAN;TACC1_HUMAN;CKAP5_HUMAN;TACC3_HUMAN;IKBA_HUMAN;AJUBA_HUMAN;
CD40/CD40L signaling,31,TRAF3_HUMAN;JAK3_HUMAN;TF65_HUMAN;M3K1_HUMAN;FCAMR_HUMAN;CD40L_HUMAN;STA5A_HUMAN;TRAF1_HUMAN;MK14_HUMAN;JUN_HUMAN;BIRC3_HUMAN;MK09_HUMAN;MK11_HUMAN;IL4_HUMAN;TNR5_HUMAN;MK10_HUMAN;MYC_HUMAN;AKT1_HUMAN;MK08_HUMAN;NFKB1_HUMAN;C4BPA_HUMAN;;TRAF2_HUMAN;IKBA_HUMAN;TYDP2_HUMAN;CBLB_HUMAN;TNAP3_HUMAN;TRAF6_HUMAN;M3K14_HUMAN;BIRC2_HUMAN;MP2K4_HUMAN;
IGF1 pathway,31,KPCD_HUMAN;IGF1_HUMAN;RAF1_HUMAN;;BAD_HUMAN;GRB10_HUMAN;NCK2_HUMAN;IGF1R_HUMAN;SHC1_HUMAN;IRS1_HUMAN;BCAR1_HUMAN;AKT1_HUMAN;CRKL_HUMAN;KPCZ_HUMAN;PDPK1_HUMAN;PAXI_HUMAN;PTN1_HUMAN;RASH_HUMAN;KPCD1_HUMAN;P85A_HUMAN;;1433E_HUMAN;KS6B1_HUMAN;GRB2_HUMAN;PK3CA_HUMAN;GBLP_HUMAN;CRK_HUMAN;SOS1_HUMAN;IRS2_HUMAN;1433Z_HUMAN;PTN11_HUMAN;
Nephrin/Neph1 signaling in the kidney podocyte,31,P85A_HUMAN;PK3CB_HUMAN;PK3CA_HUMAN;NPHN_HUMAN;ZO1_HUMAN;TRPC6_HUMAN;PLCG1_HUMAN;CD2AP_HUMAN;RAC1_HUMAN;MK09_HUMAN;GRB2_HUMAN;PK3CD_HUMAN;NCK2_HUMAN;MP2K4_HUMAN;KPCI_HUMAN;AKT1_HUMAN;FYN_HUMAN;NCK1_HUMAN;P55G_HUMAN;BAD_HUMAN;PAR6A_HUMAN;PAR3_HUMAN;PODO_HUMAN;MK08_HUMAN;WASL_HUMAN;JUN_HUMAN;KIRR1_HUMAN;P85B_HUMAN;ARRB2_HUMAN;KPCZ_HUMAN;MK10_HUMAN;
Osteopontin-mediated events,31,VAV3_HUMAN;KSYK_HUMAN;UROK_HUMAN;MK08_HUMAN;ITB3_HUMAN;MMP9_HUMAN;ROCK2_HUMAN;MK03_HUMAN;TF65_HUMAN;FAK2_HUMAN;IKKA_HUMAN;MMP2_HUMAN;ITAV_HUMAN;P85A_HUMAN;OSTP_HUMAN;BCAR1_HUMAN;CD44_HUMAN;M3K1_HUMAN;NFKB1_HUMAN;FOS_HUMAN;CDC42_HUMAN;M3K14_HUMAN;MK01_HUMAN;JUN_HUMAN;IKBA_HUMAN;RHOA_HUMAN;RAC1_HUMAN;GELS_HUMAN;PI51A_HUMAN;PK3CA_HUMAN;ILK_HUMAN;
Regulation of p38-alpha and p38-beta,31,LCK_HUMAN;PAK3_HUMAN;RAC1_HUMAN;HCK_HUMAN;PAK2_HUMAN;YES_HUMAN;MP2K3_HUMAN;FGR_HUMAN;DUS10_HUMAN;RALB_HUMAN;LYN_HUMAN;CDC42_HUMAN;DUS8_HUMAN;TAB1_HUMAN;SRC_HUMAN;DUS16_HUMAN;CCM2_HUMAN;DUS1_HUMAN;MP2K6_HUMAN;MK14_HUMAN;PAK1_HUMAN;MK11_HUMAN;TRAF6_HUMAN;RALA_HUMAN;M3K3_HUMAN;BLK_HUMAN;FYN_HUMAN;MP2K4_HUMAN;KGP1_HUMAN;M3K12_HUMAN;RIPK1_HUMAN;
BARD1 signaling events,30,PRKDC_HUMAN;FANCC_HUMAN;FANCE_HUMAN;TOPB1_HUMAN;NPM_HUMAN;FACD2_HUMAN;RAD50_HUMAN;ATR_HUMAN;NBN_HUMAN;FANCA_HUMAN;RAD51_HUMAN;EWS_HUMAN;ATM_HUMAN;MRE11_HUMAN;BRCA1_HUMAN;FANCF_HUMAN;PCNA_HUMAN;P53_HUMAN;XRCC5_HUMAN;XRCC6_HUMAN;BARD1_HUMAN;UB2L3_HUMAN;UB2D3_HUMAN;CCNE1_HUMAN;FANCL_HUMAN;;CDK2_HUMAN;FANCG_HUMAN;CSTF1_HUMAN;COM1_HUMAN;
Calcium signaling in the CD4+ TCR pathway,30,PP2BA_HUMAN;CD40L_HUMAN;CHP1_HUMAN;NFAC3_HUMAN;JUNB_HUMAN;PO2F1_HUMAN;RCAN1_HUMAN;AKAP5_HUMAN;PGH2_HUMAN;FOS_HUMAN;CABIN_HUMAN;BATF3_HUMAN;CANB1_HUMAN;PP2BB_HUMAN;IL2_HUMAN;TNFL6_HUMAN;NFAC1_HUMAN;NFAC2_HUMAN;IL2RA_HUMAN;IL3_HUMAN;JUN_HUMAN;CSF2_HUMAN;CALM_HUMAN;IL4_HUMAN;FOSL1_HUMAN;FKB1A_HUMAN;CREM_HUMAN;KAPCA_HUMAN;IFNG_HUMAN;RCAN2_HUMAN;
Ephrin B reverse signaling,30,EFNB2_HUMAN;LCK_HUMAN;SRC_HUMAN;ITA2B_HUMAN;EPHB4_HUMAN;NCK2_HUMAN;RGS3_HUMAN;P85A_HUMAN;FGR_HUMAN;MP2K4_HUMAN;YES_HUMAN;EFNB1_HUMAN;LYN_HUMAN;FYN_HUMAN;FIBG_HUMAN;FIBA_HUMAN;MK08_HUMAN;PK3CA_HUMAN;EPHB1_HUMAN;FIBB_HUMAN;M3K7_HUMAN;DYN1_HUMAN;BLK_HUMAN;CXCR4_HUMAN;TIAM1_HUMAN;EPHB2_HUMAN;RAC1_HUMAN;HCK_HUMAN;ITB3_HUMAN;PTN13_HUMAN;
IL2 signaling events mediated by STAT5,30,IL2_HUMAN;GRB2_HUMAN;MYC_HUMAN;JAK1_HUMAN;CCNA2_HUMAN;SP1_HUMAN;IL2RB_HUMAN;GAB2_HUMAN;SHC1_HUMAN;CCND3_HUMAN;SOS1_HUMAN;P85A_HUMAN;IL2RG_HUMAN;BCL2_HUMAN;STA5A_HUMAN;PERF_HUMAN;B2CL1_HUMAN;TNFB_HUMAN;ELF1_HUMAN;TNFL6_HUMAN;CCND2_HUMAN;CDK6_HUMAN;LCK_HUMAN;PTN11_HUMAN;FOXP3_HUMAN;JAK3_HUMAN;IL4_HUMAN;STA5B_HUMAN;PK3CA_HUMAN;IL2RA_HUMAN;
Lissencephaly gene (LIS1) in neuronal migration and development,30,RELN_HUMAN;;CSK21_HUMAN;CD5R2_HUMAN;AMRP_HUMAN;IQGA1_HUMAN;LRP8_HUMAN;PAFA_HUMAN;CLIP1_HUMAN;1433E_HUMAN;MAP1B_HUMAN;RAC1_HUMAN;RHOA_HUMAN;PA1B3_HUMAN;LIS1_HUMAN;DYLT1_HUMAN;KTNA1_HUMAN;DAB1_HUMAN;NDEL1_HUMAN;DCX_HUMAN;2A5D_HUMAN;CD5R1_HUMAN;VLDLR_HUMAN;PA1B2_HUMAN;CDK5_HUMAN;DYHC1_HUMAN;CDC42_HUMAN;CALM_HUMAN;ABL1_HUMAN;NUDC_HUMAN;
Nectin adhesion pathway,30,;PTPRM_HUMAN;RAC1_HUMAN;CTNA1_HUMAN;ITAV_HUMAN;CLD1_HUMAN;TLN1_HUMAN;RAP1A_HUMAN;RAP1B_HUMAN;RPGF1_HUMAN;PDGFB_HUMAN;PVRL1_HUMAN;JAM1_HUMAN;PI51C_HUMAN;VAV2_HUMAN;PVR_HUMAN;CADH1_HUMAN;;CTNB1_HUMAN;PGFRB_HUMAN;ITB3_HUMAN;FARP2_HUMAN;PVRL2_HUMAN;PVRL3_HUMAN;P85A_HUMAN;SRC_HUMAN;CDC42_HUMAN;PK3CA_HUMAN;CRK_HUMAN;IQGA1_HUMAN;
Regulation of CDC42 activity,30,DOC10_HUMAN;MCF2L_HUMAN;FARP2_HUMAN;ARHG7_HUMAN;DOC11_HUMAN;DOCK9_HUMAN;DNMBP_HUMAN;ARHG9_HUMAN;ARHG6_HUMAN;GIT1_HUMAN;VAV2_HUMAN;RGAP1_HUMAN;FGD1_HUMAN;PLCG1_HUMAN;GDIR1_HUMAN;RHG01_HUMAN;BCAR3_HUMAN;NDKA_HUMAN;APC_HUMAN;NGEF_HUMAN;ITSN2_HUMAN;MCF2_HUMAN;ITSN1_HUMAN;VAV3_HUMAN;RBP1_HUMAN;DOCK6_HUMAN;RHG17_HUMAN;ARHGP_HUMAN;CDC42_HUMAN;SPT13_HUMAN;
S1P3 pathway,30,PDGFB_HUMAN;GNAI2_HUMAN;GNA14_HUMAN;GNAO_HUMAN;GNAO_HUMAN;GNA15_HUMAN;GNA12_HUMAN;AKT1_HUMAN;SRC_HUMAN;VEGFA_HUMAN;ITAV_HUMAN;MK01_HUMAN;PGFRB_HUMAN;VGFR1_HUMAN;AKT3_HUMAN;ITB3_HUMAN;S1PR3_HUMAN;GNAQ_HUMAN;CXCR4_HUMAN;S1PR2_HUMAN;GNA11_HUMAN;JAK2_HUMAN;GNAI3_HUMAN;MK03_HUMAN;GNA13_HUMAN;S1PR1_HUMAN;GNAZ_HUMAN;GNAI1_HUMAN;RAC1_HUMAN;RHOA_HUMAN;
